Repository,PR #,Title,State,Created At,Merged At,Closed At,Additions,Deletions,Net Lines,URL
dataverse-vintedgo-dbt,6788,"feat: add reporting carriers ""filling"" logic to credit notes prep wide",MERGED,2025-12-29,2026-01-05,2026-01-05,229,43,186,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6788
dataverse-vintedgo-dbt,6783,chore: use most material information for reporting information,MERGED,2025-12-29,2025-12-29,2025-12-29,16,30,-14,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6783
dataverse-vintedgo-dbt,6782,chore: remove carrier name from carrier contract prices,MERGED,2025-12-24,2025-12-24,2025-12-24,38,38,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6782
dataverse-vintedgo-looker,3514,chore: updates to dim_contract_carrier_prices dashboard,MERGED,2025-12-24,2025-12-24,2025-12-24,48,44,4,https://github.com/vinted/dataverse-vintedgo-looker/pull/3514
dataverse-vintedgo-dbt,6778,feat: carrier codes in carrier contract prices,MERGED,2025-12-23,2025-12-23,2025-12-23,33,1,32,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6778
dataverse-vintedgo-finance,189,chore: remove additional ) in config,MERGED,2025-12-23,2025-12-23,2025-12-23,1,1,0,https://github.com/vinted/dataverse-vintedgo-finance/pull/189
dataverse-vintedgo-dbt,6774,feat: additional columns for shipping report,MERGED,2025-12-23,2025-12-23,2025-12-23,206,15,191,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6774
dataverse-marketplace-dbt,13565,fix: cast null to original data type sin fct_braze_currents_events,MERGED,2025-12-23,2025-12-23,2025-12-23,6,6,0,https://github.com/vinted/dataverse-marketplace-dbt/pull/13565
dataverse-vintedgo-dbt,6772,fix: normalise keys for GLS-HU when joining keys,MERGED,2025-12-22,2025-12-22,2025-12-22,26,1,25,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6772
dataverse-vintedgo-dbt,6768,feat: manual override for pro-carrier US>UK / UK>US,MERGED,2025-12-22,2025-12-22,2025-12-22,52,0,52,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6768
dataverse-vintedgo-dbt,6767,chore: fix syntax issue,MERGED,2025-12-22,2025-12-22,2025-12-22,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6767
dataverse-vintedgo-dbt,6766,feat: 3rd party billing updates,MERGED,2025-12-22,2025-12-22,2025-12-22,12,3,9,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6766
dataverse-vintedgo-dbt,6764,chore: drop column from historic carrier contract prices,MERGED,2025-12-22,2025-12-22,2025-12-22,14,0,14,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6764
dataverse-vintedgo-dbt,6760,chore: add new carrier code gls dk to accepted values,MERGED,2025-12-22,2025-12-22,2025-12-22,2,1,1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6760
dataverse-vintedgo-dbt,6759,"fix: for incremental load, only take from 2025-12-01 for estimated costs",MERGED,2025-12-22,2025-12-22,2025-12-22,2,4,-2,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6759
dataverse-vintedgo-dbt,6756,feat: introduce exclusions from admin price list seeds,MERGED,2025-12-19,2025-12-19,2025-12-19,321,501,-180,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6756
dataverse-vintedgo-dbt,6754,feat: add DPD-LU to mapping,MERGED,2025-12-19,2025-12-19,2025-12-19,3,2,1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6754
dataverse-vintedgo-dbt,6753,chore: acknowledge new route combination for vcarrier,MERGED,2025-12-19,2025-12-19,2025-12-19,1,0,1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6753
dataverse-vintedgo-dbt,6745,feat: merge v0 & v1 for price lists in dim_carrier_contract_prices,MERGED,2025-12-18,2025-12-19,2025-12-19,678,220,458,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6745
dataverse-vintedgo-dbt,6722,chore: change materialisation to table,MERGED,2025-12-17,2025-12-17,2025-12-17,2,23,-21,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6722
dataverse-vintedgo-finance,187,chore: update finops_owner for HOMERR invoices,MERGED,2025-12-16,2025-12-16,2025-12-16,2,2,0,https://github.com/vinted/dataverse-vintedgo-finance/pull/187
dataverse-vintedgo-dbt,6708,chore: change start-date of when price-list from admin tool becomes effective to 2025-12-01,MERGED,2025-12-15,2025-12-19,2025-12-19,27,27,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6708
dataverse-vintedgo-finance,186,chore: change source to the pii_int model,OPEN,2025-12-12,,,24,24,0,https://github.com/vinted/dataverse-vintedgo-finance/pull/186
dataverse-vintedgo-dbt,6687,fix: cast calculated values to numeric,MERGED,2025-12-12,2025-12-12,2025-12-12,27,20,7,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6687
dataverse-vintedgo-dbt,6657,feat: add coefficients to carrier contract prices (v1),MERGED,2025-12-09,2025-12-11,2025-12-11,346,55,291,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6657
dataverse-vintedgo-dbt,6641,"fix: if delivered is null, do not show any derivation method + refactoring",MERGED,2025-12-08,2025-12-09,2025-12-09,295,199,96,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6641
dataverse-vintedgo-finance,185,chore: change HOMERR owner to greta.skripskaite,MERGED,2025-12-08,2025-12-08,2025-12-08,1,1,0,https://github.com/vinted/dataverse-vintedgo-finance/pull/185
dataverse-vintedgo-dbt,6631,chore: exclude tests,MERGED,2025-12-07,2025-12-08,2025-12-08,4,1,3,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6631
dataverse-vintedgo-dbt,6630,fix: exclude specification modelling test,MERGED,2025-12-06,2025-12-06,2025-12-06,3,0,3,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6630
dataverse-marketplace-dbt,13254,feat: add measures for count transactions and carrier legs,MERGED,2025-12-05,2025-12-06,2025-12-06,10,0,10,https://github.com/vinted/dataverse-marketplace-dbt/pull/13254
dataverse-vintedgo-dbt,6629,fix: split processing logic: only do something if there are multiple currencies,MERGED,2025-12-05,2025-12-08,2025-12-08,136,28,108,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6629
dataverse-vintedgo-dbt,6628,refactor: move contract prices to an upstream price list v0 model,MERGED,2025-12-05,2025-12-05,2025-12-05,475,231,244,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6628
dataverse-vintedgo-finance,184,feat: add check on invoice_id for completeness alerts,MERGED,2025-12-05,2025-12-05,2025-12-05,295,5,290,https://github.com/vinted/dataverse-vintedgo-finance/pull/184
dataverse-vintedgo-dbt,6621,chore: only test for reporting carrier nulls in invoice rows wide categories if there is something missing,MERGED,2025-12-05,2025-12-05,2025-12-05,4,2,2,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6621
dataverse-vintedgo-dbt,6616,"feat: new valid combination ""AT|NL"" for reporting routes",MERGED,2025-12-04,2025-12-05,2025-12-05,108,15,93,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6616
dataverse-vintedgo-dbt,6615,"refactor: generalise test, but also only test for not nulls if there are no values in another columns",MERGED,2025-12-04,2025-12-05,2025-12-05,151,16,135,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6615
dataverse-vintedgo-dbt,6612,chore: add new category to test in chronopost,MERGED,2025-12-04,2025-12-04,2025-12-04,1,0,1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6612
dataverse-vintedgo-dbt,6602,"feat: add new fields introduced, into historic snapshots",MERGED,2025-12-03,2025-12-05,2025-12-05,102,5,97,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6602
dataverse-vintedgo-dbt,6601,chore: replace carrier contracts to use dim_shipping_routes,MERGED,2025-12-03,2025-12-04,2025-12-04,7,8,-1,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6601
dataverse-vintedgo-dbt,6595,feat: introduce revenue recognition derivation method to help understand how the revenue recognition date was derived,MERGED,2025-12-03,2025-12-03,2025-12-03,193,83,110,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6595
dataverse-marketplace-dbt,13167,refactor: use jinja for mrt_shipping_profit_loss_by_carrier_route + unit test,MERGED,2025-12-03,2025-12-03,2025-12-03,1307,129,1178,https://github.com/vinted/dataverse-marketplace-dbt/pull/13167
dataverse-vintedgo-dbt,6594,feat: introduce dim_shipping_routes,MERGED,2025-12-03,2025-12-03,2025-12-03,285,17,268,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6594
dataverse-vintedgo-dbt,6591,feat: new tests on min and max weight from drop off options parcel,MERGED,2025-12-03,2025-12-03,2025-12-03,19,2,17,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6591
dataverse-vintedgo-finance,182,chore: change owner for earlybird to vytaute.pilkyte,MERGED,2025-12-03,2025-12-03,2025-12-03,1,1,0,https://github.com/vinted/dataverse-vintedgo-finance/pull/182
dataverse-vintedgo-dbt,6582,feat: add revenue recognition date 2026 method column to mart shipment legs invoice cost and revenue,MERGED,2025-12-02,2025-12-03,2025-12-03,118,0,118,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6582
dataverse-marketplace-dbt,13147,feat: add package type to shipping profit & loss analysis,MERGED,2025-12-02,2025-12-03,2025-12-03,35,1,34,https://github.com/vinted/dataverse-marketplace-dbt/pull/13147
dataverse-vintedgo-dbt,6567,chore: change to use current_date rather than the data interval start for tracking statuses,MERGED,2025-12-01,2025-12-02,2025-12-02,4,4,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6567
dataverse-vintedgo-dbt,6560,fix: timeframes in mart_vcarrier_3rd_party_customer_billing,MERGED,2025-12-01,2025-12-01,2025-12-01,17,6,11,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6560
dataverse-vintedgo-dbt,6558,fix: date casting of revenue recognition date in mart vcarrier 3rd party customer billing,MERGED,2025-12-01,2025-12-01,2025-12-01,85,13,72,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6558
dataverse-vintedgo-dbt,6556,chore: retake snapshot for mart_historic_shipment_legs_customer_invoices,MERGED,2025-12-01,2025-12-01,2025-12-01,121,0,121,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6556
dataverse-vintedgo-dbt,6555,chore: delete snapshots for 2025-12-01 (they will be retaken),MERGED,2025-12-01,2025-12-01,2025-12-01,60,0,60,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6555
dataverse-vintedgo-dbt,6550,fix: adjust time periods for vgo_checkout_api_ingestion,MERGED,2025-12-01,2025-12-01,2025-12-01,4,4,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6550
dataverse-vintedgo-dbt,6533,fix: change service type name price list to a leg level,MERGED,2025-11-27,2025-11-28,2025-11-28,196,6,190,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6533
dataverse-vintedgo-dbt,6511,chore: change access to int_carrier_contract_prices_v1,MERGED,2025-11-26,2025-11-26,2025-11-26,2,0,2,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6511
dataverse-vintedgo-dbt,6464,feat: amend mart agg carrier costs to include transaction count,MERGED,2025-11-21,2025-11-21,2025-11-21,209,7,202,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6464
dataverse-vintedgo-dbt,6457,chore: aggregate transfers into one line,MERGED,2025-11-21,2025-11-21,2025-11-21,37,33,4,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6457
dataverse-vintedgo-dbt,6452,fix: downstream usage of `prep_enriched_transactions`,MERGED,2025-11-21,2025-11-21,2025-11-21,11,6,5,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6452
dataverse-vintedgo-dbt,6451,chore: change data type to numeric,MERGED,2025-11-21,2025-11-21,2025-11-21,34,34,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6451
