pr_number,title,repository,repository_full,state,author,created_at,updated_at,closed_at,comments_count,labels,label_count,days_open,url,body_length,year_month,year,month,quarter,is_merged,is_closed,is_open
2230,Change reference to listing_price_eur_fixed,lookml,vinted/lookml,closed,jeremychia,2023-10-26 14:32:30+00:00,2024-11-24 11:49:13+00:00,2023-10-31 07:58:16+00:00,2,,0,4,https://github.com/vinted/lookml/pull/2230,477,2023-10,2023,10,Q4 2023,False,True,False
11977,Offline Verification Dimensions additions,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-27 10:53:55+00:00,2023-10-30 11:06:16+00:00,2023-10-30 11:06:15+00:00,6,,0,3,https://github.com/vinted/warehouse-jobs/pull/11977,513,2023-10,2023,10,Q4 2023,True,False,False
2240,Adds dimension+count for is_offline_verification_eligible_at_listing_creation,lookml,vinted/lookml,merged,jeremychia,2023-10-30 11:37:49+00:00,2023-10-31 08:38:26+00:00,2023-10-31 08:38:25+00:00,2,,0,0,https://github.com/vinted/lookml/pull/2240,300,2023-10,2023,10,Q4 2023,True,False,False
12013,Fix package weight fact,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-31 07:49:52+00:00,2023-10-31 11:28:44+00:00,2023-10-31 11:28:43+00:00,4,,0,0,https://github.com/vinted/warehouse-jobs/pull/12013,263,2023-10,2023,10,Q4 2023,True,False,False
2242,Expose price group dimensions to ListingFact,lookml,vinted/lookml,merged,jeremychia,2023-10-31 09:18:18+00:00,2023-11-01 09:37:17+00:00,2023-11-01 09:37:16+00:00,1,,0,1,https://github.com/vinted/lookml/pull/2242,851,2023-10,2023,10,Q4 2023,True,False,False
2243,Expose HVF Listing status dimensions,lookml,vinted/lookml,merged,jeremychia,2023-10-31 13:42:02+00:00,2023-11-06 10:10:11+00:00,2023-11-06 10:10:10+00:00,1,,0,5,https://github.com/vinted/lookml/pull/2243,268,2023-10,2023,10,Q4 2023,True,False,False
2246,Add new HVF+HOAV to ItemSale Looks,lookml,vinted/lookml,merged,jeremychia,2023-11-01 09:12:21+00:00,2023-11-06 10:17:38+00:00,2023-11-06 10:17:37+00:00,1,,0,5,https://github.com/vinted/lookml/pull/2246,519,2023-11,2023,11,Q4 2023,True,False,False
12041,Fix date format in ItemImportedDimension,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-11-02 15:13:44+00:00,2023-11-02 16:28:20+00:00,2023-11-02 16:28:19+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/12041,870,2023-11,2023,11,Q4 2023,True,False,False
2249,Hiding Fixed EUR Listing Price Groups in Listings,lookml,vinted/lookml,merged,jeremychia,2023-11-03 10:56:19+00:00,2023-11-03 11:00:25+00:00,2023-11-03 11:00:24+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2249,209,2023-11,2023,11,Q4 2023,True,False,False
2252,Adds HVF Dimensions in Item Sales Incl. Non Escrow,lookml,vinted/lookml,merged,jeremychia,2023-11-06 10:26:28+00:00,2023-11-06 14:37:00+00:00,2023-11-06 14:36:59+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2252,285,2023-11,2023,11,Q4 2023,True,False,False
